name,type,datetime,open,high,low,close,volume
Tesla Inc.,stock,1647581580,857.50,870.00,852.00,861.50,100
Tesla Inc.,stock,1647581640,861.00,875.00,857.00,866.50,80
Google LLC,stock,1647580800,2400.00,2415.00,2390.00,2405.00,100
Google LLC,stock,1647580860,2408.00,2420.00,2405.00,2418.00,80
Google LLC,stock,1647580920,2412.00,2425.00,2410.00,2422.00,70
Google LLC,stock,1647580980,2420.00,2435.00,2418.00,2428.00,90
Google LLC,stock,1647581040,2425.00,2440.00,2422.00,2436.00,120
Google LLC,stock,1647581100,2438.00,2450.00,2435.00,2445.00,150
Google LLC,stock,1647581160,2445.00,2458.00,2442.00,2452.00,180
Google LLC,stock,1647581220,2452.00,2465.00,2448.00,2460.00,200
Google LLC,stock,1647581280,2460.00,2475.00,2455.00,2465.00,220
Google LLC,stock,1647581340,2468.00,2480.00,2462.00,2475.00,250
Google LLC,stock,1647581400,2470.50,2485.00,2468.00,2478.50,280
Google LLC,stock,1647581460,2478.00,2490.00,2475.00,2485.50,300
Google LLC,stock,1647581520,2487.00,2500.00,2480.00,2497.50,320
Google LLC,stock,1647581580,2497.50,2510.00,2492.00,2502.50,340
Google LLC,stock,1647581640,2502.50,2515.00,2498.00,2510.50,360
